1,አንድ አሽከርካሪ ሊከተለው የሚገባ የስራ ቦታ ደህንነት ቅደም ተከተል ያልሆነው የቱ ነው?,ሀ/ ንፅህና,ለ/ ትክክለኛ አለባበስ,ሐ/ “ሀ” ና “ለ”,መ/ መልሱ የለም,,መ
2,በተሽከርካሪ ውስጥ ዘወትር የእሳት ማጥፊያ እንዳለ መከታተል የስራ ላይ ደህንነት አተገባበር ነው,ሀ/ እውነት,ለ/ ሀሰት,,,,ሀ
3,የራስን ንፅህና አለመጠበቅ ከአሽከርካሪዎች የማይጠበቅ ስህተት ነው,ሀ/ እውነት,ለ/ ሀሰት,,,,ሀ
4,የስራ አካባቢን የተመቻቸ ማድረግ ማለት ምን ማለት ነው?,ሀ/ ንፅህና መጠበቅ,ለ/ ቦታን የተስተካከለ ማድረግ,"ሐ/ ""ሀ"" ና ""ለ""",መ/ መልሱ የለም,,ሐ
5,የተሽከርካሪ ብልሽት ለአደጋ የማጋለጥ እድሉ አነስተኛ ነው,ሀ/ እውነት,ለ/ ሐሰት,,,,ለ
6,በቂ እረፍት መውሰድ አደጋን ለመከላከል የሚቻልበት መንገድ ነው,ሀ/ እውነት,ለ/ ሐሰት,,,,ሀ
7,አይንንና አትኩሮትን በ ላይ ማድረግ አደጋን ይቀንሳል,ሀ/ ስራ,ለ/ መንገድ,ሐ/ሀ ና ለ,መ/መልሱ የለም,,ለ
8,የአነዳድ ብቃትን ለማሻሻል መጣር,ሀ/ የመልካም አሽከርካሪ ባህሪ ነው,ለ/ አደጋን የመከላከል ባህሪ ነው,ሐ/ ሀናለ,መ/ መለሱ የለም,,ሐ
9,ህግና ሥርዓትን ማክበር የሚጠቅመው,ሀ/ አደጋን ለመቀነስ,ለ/ የትራፊክ እንቅስቃሴን ለማሣለጥ,ሐ/ ሀናለ,መ/ መልሱ የለም,,ሐ
10,የአየር ማቀዝቀዣ /AC/ ጥቅም የሆነው የቱ ነው?,ሀ/ በጋቢና በውስጥ ያለ አየር ይቆጣጠራል,ለ/ ድብልቅልቅ ስሜትን ይቀንሳል,ሐ/ የሞተር ሙቀትን ይቀንሳል,መ/ “ሀ” ና “ለ”,,ሀ
11,በጉዞ መስመር ላይ ያለን ማህበረሰብ ባህልና ቋንቋ ማወቅ ጠቀሜታው አነስተኛ ነው,ሀ/ እውነት,ለ/ ሀሰት,,,,ለ
12,የተሽከርካሪን የውስጥ ምቾት ማሻሻል የስራ ላይ ደህንነት እርምጃ አይደለም,ሀ/ እውነት,ለ/ ሀሰት,,,,ለ
13,የአነዳድ ብቃትን ማሻሻል የአደጋ ተጋላጭነትን ይቀንሳል,ሀ/ እውነት,ለ/ ሐሰት,,,,ሀ
14,ንቃትና ቅልጥፍና ከአሽከርካሪዎች የሚጠበቅ ባህሪ ነው,ሀ/ እውነት,ለ/ ሐሰት,,,,ሀ
15,አንድ አሽከርካሪ ከጉዞ በፊት የመንገድ ሁኔታን መገመት ይገባዋል,ሀ/ እውነት,ለ/ ሐሰት,,,,ሀ
16,ለአደጋ መንስኤ ሊሆኑ ከሚችሉ ሁኔታዎች አንዱ ድቅድቅ ጨለማ ነው,ሀ/ እውነት,ለ/ ሀሰት,,,,ሀ
17,አንድ አሽከርካሪ የተሽከርካሪውን ደህንነት መጠበቅ የሚጠቅመው,ሀ/ የተሽከርካሪው ዕድሜ እንዲጨምር,ለ/ ለአሽከርካሪው ደህንነት,ሐ/ ንብረት ላይ የሚደርሰውን አደጋ ለመቀነስ,መ/ ሁሉም መልስ ነው,,መ
18,በተሽከርካሪ ላይ የሚጫን የዕቃ ደህንነት ለመጠበቅ መረጃ ውስጥ መካታት ያለበት የቱ ነው?,ሀ/ የዕቃው ስም,ለ/ ጠቅላላ ክብደቱ,ሐ/ የጭነቱ አደገኝነት,መ/ ሁሉም,,መ
19,ተሽከርካሪን ከማንቀሳቀስ በፊት ዙሪያውን መቃኘት ይገባል,ሀ/ እውነት,ለ/ ሀሰት,,,,ሀ
20,የሞተር ዙር ሳይጠብቅ የሚደረግ የማርሽ አለዋወጥ ለአደጋ ሊዳርግ ይችላል,ሀ/ እውነት,ለ/ ሐሰት,,,,ሀ
21,HIV ኤድስን መከላከል የአሽከርካሪዎች ነው,ሀ/ ሀላፊነት,ለ/ ግዴታ,ሐ/ ፈቃድ,መ/ መልሱ የለም,,ለ
22,ተሽከርካሪን ያለ እጅ ፍሬን ማቆም ነው,ሀ/ የጥንቃቄ ጉድለት,ለ/ የደህንነት ጉድለት,ሐ/ “ሀ” ና “ለ”,መ/ መልሱ የለም,,ሐ
23,የሚፈነዱ ነገሮች ከመጫናቸውም ሆነ ከመውረደቸው በፊት የተሽከርካሪው ሞተር መጥፋት አለበት,ሀ/ እውነት,ለ/ ሐሰት,,,,ሀ
24,የሚፈነዱ ነገሮችን በመጫንና በማወረድ ወቅት ማሞቂያ መጠቀም አይመከርም,ሀ/ እውነት,ለ/ ሐሰት,,,,ሀ
25,ሲሊንደሮች ሲጫኑ አፋቸው ወደ ላይ መሆን አለበት,ሀ/ እውነት,ለ/ ሐሰት,,,,ሀ
26,የእሳት ማጥፊያ ወሣኘ የጥንቃቄ መሣሪያ ነው,ሀ/ እውነት,ለ/ ሐሰት,,,,ሀ
27,ተቀጣጣይ ንጥረ ነገር መጫን ያለበት ነው,ሀ/ በኮንቴነር,ለ/ በአውቶሞቢል,ሐ/ሀናለ,መ/ መልሱ የለም,,ሀ
28,ሞተር እየሰራ ተቀጣጣይ ንጥረ ነገሮችን መጫን ይቻላል,ሀ/ እውነት,ለ/ ሀሰት,,,,ለ
29,የ “መ” ክፍል እሳት ምድብ የሆነው የቱ ነው?,ሀ/ ሚቴን,ለ/ ላምባ,ሐ/ ካልሲያም,መ/ ሁሉም መልስ ነው,,ሐ
30,በእንጨት የተነሳ እሳት በውሃ ስናጠፋ¬¬¬¬ የተጠቀምንበት የማጥፊያ ዘዴ የቱ ነው?,ሀ/ ማቀዝቀዝ,ለ/ ማፈን,ሐ/ ማስራብ,መ/ ማራቅ,,ሀ
31,የእሳት ማጥፊያ ዘዴ በዋና ዋና ክፍሎች ይመደባል,ሀ/ 2,ለ/ 3,ሐ/ 4,መ/ 5,,ለ
32,ሙቀትን በማስወገድ የማጥፋት ዘዴ,ሀ/ ማስራብ,ለ/ ማቀዝቀዝ,ሐ/ ካርቦን ዳይኦክሳይድ,መ/ ፎም,,ለ
33,አደጋ ስለደረሰበት ሠው ሪፖርት የምናደርግለት ተቌም የቱ ነው?,ሀ/ ቀይ መስቀል,ለ/ ኢንሹራንስ,ሐ/ ትራፊክ ፖሊስ,መ/ሁሉም መልስ ይሆናሉ,,መ
34,ኤች∙ አይ∙ ቪ ኤድስ ከሚተላልፍባቸው መንገዶች መካከል ዋነኛው የቱ ነው?,ሀ/ በመነካካት,ለ/ በግብረ-ስጋ ግንኙነት,ሐ. ከእናት ወደ ልጅ,መ. “ለ” እ “ሐ”,,ለ
35,ከተሸከርካሪ የሚወጣው ጭስ አደገኛ የጋዝ ልቀት የሆነው የቱ ነው?,ሀ/ CO,ለ/ CH2,ሐ/ CH3,መ/ NSO,,ሀ
36,ቡታ ጋዝ፣ቡቴንና ሚቴን የተባለ ተቀጣጣይ ነገሮች በስንተኛ ደረጃ የእሳት ምድብ ውስጥ ይገኛሉ?,ሀ/ በአንደኛ ደረጃ (ሀ),ለ/ በሦስተኛ ደረጃ(ሐ),ሐ/ በሁለተኛ ደረጃ (ለ),መ/ በአራተኛ ደረጃ(መ),,ለ
37,ተቀጣጣይ ነገሮች በማራቅ እሳትን የምናጠፋበት ዘዴ ምን ይባላል፡፡,ሀ. ማስራብ,ለ. ማፈን,ሐ. ማቀዝቀዝ,መ. ሁሉም,,ሀ
38,የስራ ላይ ደህንነትና ጥንቃቄ ትርጉም ያልሆነው የቱ ነው?,ሀ. አደጋን መከላከል,ለ. አደጋን ሊፈጥሩ የሚችሉ ሁኔታዎችን ማስወገድ,ሐ. ለአደጋ ተጋላጭ መሆን,መ. መልሱ የለም,,ሐ
39,አሽከርካሪዎች ከማሽከርከር ተግባርና ከተሽከርካሪው ሁኔታ ጋር በተያያዘ አደጋን እንዳይፈጠር የሚያደርጉት የጥንቃቄ ሂደቶች የስራ ላይ ጥንቃቄና ደህንነት በመባል ይታወቃሉ፡፡,ሀ. እውነት,ለ. ሀሰት,,,,ሀ
40,በማሽከርከር ወቅት አሽከርካሪዎች ሊከተሉት የሚገባ የስራ ላይ ደህንነት አጠባበቅ ያልሆነው የቱ ነው?,ሀ. ጤንነት ማረጋገጥ,ለ. ችሎታን ማወቅ,ሐ. ሀ ና ለ,መ. መልሱ የለም,,መ
41,ጥሩ የጉዞ እቅድ ማውጣት የስራ ላይ ደህንነት አጠባበት አካል ነው,ሀ. እውነት,ለ. ሀሰት,,,,ሀ
42,ማንኛውም አሽከርካሪ ጫት መቃም ያለበት ተሽከርካሪው በቆመ ሠአት ነው፡፡,ሀ. እውነት,ለ. ሀሰት,,,,ለ
43,ከሚከተሉት አንዱ ለአደጋ መንስኤ አይደለም,ሀ. ጠጥቶ ማሸከርከር,ለ. ከልክ በላይ በራስ መተማመን,ሐ. በቂ እረፍት ወስዶ ማሽከርከር,መ. መልሱ የለም,,ሐ
44,አንድ አሽከርካሪ ጥገና ለማከናወን ከመነሳቱ በፊት,ሀ. የአካባቢ ብክለትን ሰለ መከላከል ማወቅ አለበት,ለ. ስለስራው ተገቢውን መሣሪያ ማዘጋጀት አለበት,ሐ. ለስራው አስፈላጊዉን አልባሳት መጠቀም አለበት,መ. ሁሉም,,መ
45,አንድ አሽከርካሪ ጥገና ከመጀመሩ በፊት ስለስራው በቂ እውቀት ሊኖረው ይገባል፡፡,ሀ. እውነት,ለ. ሀሰት,,,,ሀ
46,አንድ አሽከርካሪ ጥገና ከመጀመሩ በፊት ስራው ሊያደርስ የሚችለውን ጫና ማወቅ አለበት፡፡,ሀ. እውነት,ለ. ሀሰት,,,,ሀ
