1,በትራንስፖርት ዘርፍ መረጃ የሚተላለፍላቸው ሌሎች መሰል ድርጅቶች ይኖራሉ፡፡,ሀ) እውነት,ለ) ሀሰት,,,,ሀ
2,በተሽከርካሪ ላይ የሚጫንን እቃ ከመጫኑ በፊት ባለቤቱ አስቀድሞ በአግባቡ መታሸጉን ማረጋገጥ አለበት,ሀ) እውነት,ለ) ሀሰት,,,,ለ
3,አካል ጉዳተኞች በማንኛውም የህዝብ ማመላለሻ ትራንስፖርት እንዲገለገሉ አይፈቀድላቸውም፡፡,ሀ) እውነት,ለ) ሀሰት,,,,ለ
4,የየአካባቢውን እሴት ማወቅ የድርጅት አገልግሎት መስጫ መርህ ተብሎ ይጠራል፡፡,ሀ) እውነት,ለ) ሀሰት,,,,ሀ
5,በህዝብ ትራንስፖርት አገልግሎት ውስጥ ለተሳፋሪዎች አክብሮትና እኩል ፍቅር የመስጠት ግዴታ የነዉ,ሀ) የአሽከርካሪው,ለ) የረዳቱ,ሐ) የባለንብረቱ,መ) የሱፐርቫይዘሩ,,ሀ
6,በተሽከርካሪ ላይ ተሰባሪ እቃዎችን መጫን አይፈቀድም፡፡,ሀ) እውነት,ለ) ሀሰት,,,,ለ
7,በመኪና ላይ የተጫነ እቃ ቢጣፋ የሚጠየቀዉ ረዳቱ ነዉ,ሀ) እውነት,ለ) ሀሰት,,,,ለ
8,ስለ ጉዞ መረጃ አስቀድሞ መሰብሰብ ከአላስፈላጊ ወጪ ያድናል፡፡,ሀ) እውነት,ለ) ሀሰት,,,,ሀ
9,በተሽከርካሪ ላይ የሚጫን እቃ እንዴት መጫንና መውረድ እንዳለበት የሚወስነው ነው፡፡,ሀ) ባለንብረቱ,ለ) እረዳቱ,ሐ) አሽከርካሪው,መ) ሱፐርቫይዘሩ,,ሐ
10,በትራንስፖርት ዘርፍ ውስጥ ያሉት የተለያዩ የቁጥጥር ደረጃዎች የሥራ ሀላፊነቶችን ለመወጣት ጠቃሚ ናቸው፡፡,ሀ) እውነት,ለ) ሀሰት,,,,ሀ
11,በትራንስፖርት ዘርፍ ከሚዋቀሩ የቁጥጥር ደረጃዎች ውስጥ አሽከርካሪዎች አይካተቱም፡፡,ሀ) እውነት,ለ) ሀሰት,,,,ለ
12,ረዳቶች የመንገደኞችን ደህንነት ይጠብቃሉ,ሀ) እውነት,ለ) ሀሰት,,,,ሀ
13,የተሽከርካሪው ባለንብረት ተሳፍሪዎች ሲሳፈሩና ሲወርዱ የመቆጣጠር ሀላፊነት አለበት፡፡,ሀ) እውነት,ለ) ሀሰት,,,,ለ
14,በጉዞ ወቅት አደጋ ቢያጋጥም መረጃ ሊተላለፍላቸው ከሚገቡ አካላት አንዱ የአሽከርካሪው ቤተሰቦች ናቸው፡፡,ሀ) እውነት,ለ) ሀሰት,,,,ሀ
15,አንድ አሽከርካሪ በሚጓዝበት ጊዜ የፖሊስን ስልክ ቁጥር /አድራሻ/ መያዝ አይጠብቅበትም፡፡,ሀ) እውነት,ለ) ሀሰት,,,,ለ
16,በአብዛኛው ሱፐርቫይዘር እየተባለ የሚጠራው የቱ ነው?,ሀ) አሽከርካሪው,ለ) እረዳቱ,ሐ) ባለንብረቱ,መ) መልሱ አልተሰጠም,,ሐ
17,በትራንስፖርት ዘርፍ ጥሩ መግባባት እንዳይኖር የሚከለክሉ ነገሮችን ማስወገድ ያስፈልጋል፡፡,ሀ) እውነት,ለ) ሀሰት,,,,ሀ
