1,በቤንዚን የሚሠራ ሞተር ነዳጅ ከነዳጅ ጋን (ስልባትዮ) ወደ ካርቡሬተር እንዲተላለፍ የሚያደርገዉ ምንድነው?,ሀ. አየር ማጣሪያ,ለ. ካርቡሬተር,ሐ. የነዳጅ ፖምኘ,መ. ስልባትዮ,,ሐ
2,አንድ ሞተር ኃይል ለማመንጨት የሚጠቀመውን ነዳጅ ማከማቸት ወይም ማጠራቀሚያ --------------------ይባላል,ሀ. ነዳጅ ጋን (ስልባትዮ),ለ. ማጣሪያ,ሐ. ካርቡሬተር,መ. ማቀዝቀዣ,,ሀ
3,በአንድ የቤንዚን ሞተር ላይ የነዳጅ እና የአየር ድብልቅ ማመጣጠን የሚከናወነው በትኛው ክፍል ነው?,ሀ. በቦቢና,ለ. በካርቡሬተር,ሐ. በሞተሪኖ,መ. በማቀዝቀዣ ክፍል,,ለ
4,በሞተር አካባቢ ሊሰማ የሚችልን የማይፈለግ ድምጽንና በካርቡሬተር በኩል የሚመጣን እሳት አፍኖ የሚያስቀር ክፍል?,ሀ. ቼሬላ,ለ. ዴብራተር (አየር ማጣሪያ),ሐ. ሳልባትዮ,መ. ካርቡሌተር,,ለ
5,በካርቡሬተር ላይ የምንጠቀመው የአየር ማጣሪያ ዓይነት?,ሀ. ደረቅ አየር ማጣሪያ,ለ. እርጥብ የአየር ማጣሪያ,ሐ. ሀ እና ለ,መ. የአውቶማቲክ ቾክ፣,,ሀ
6,አየር በሞተር ውስጥ በመግባት በመታመቅና የታመቀው አየር ከፍተኛ ሙቀት ላይ ሲደርስ በላዩ ላይ ነዳጅ በተን መልክ በመረጨት የሚያቀጣጠል የሞተር ዓይነት---------ነው,ሀ. ተርባይን ሞተር፣,ለ. ባለቤንዝል ሞተር ,ሐ. ባለናፍጣ ሞተር   ,መ. ባለጋዝ ሞተር,,ሐ
7,በናፍጣ በሚሠራ ሞተር በሲሊንደር ዉስጥ ናፍጣውን (ነዳጁን) በትነት መልክ የሚረጭ ክፍል ምን ተብሎ ይጠራል?,ሀ. አንጄክተር ፖምኘ,ለ. የነዳጅ ማጣሪያ፣,ሐ. ኢንጄክተር ኖዝል፣,መ. የነዳጅ መስመር,,ሐ
8,በናፍጣ ሞተር ላይ በመጀመሪያና በሁለተኛ ማጣሪያዎች የገባ ነዳጅ ከተጣራ በኋላ ወደ ኢንጄክሽን ፖምኘ በመግፋት የሚያስተላልፍ ክፍል የቱ ነው?,ሀ. ኢንጄክተር ኖዝል፣,ለ. ፕራይመሪ ፖምፕ፣,ሐ. መጋቢ ፖምኘ,መ. ኢንጄክተር ፖምኘ,,ሐ
9,በናፍጣ ሞተር ላይ ሲሊንደር ውስጥ የሚገባው እርጥበት አዘል አየርን በማሞቅ ሞተሩን በቀላሉ እንዲነሳ የሚያገለግል?,ሀ. ቦቢና,ለ. ካንዴላ,ሐ. ግሎው ኘላግ፣,መ ኖዝል፣,,ሐ
10,ቤንዝንና በናፍጣ ሞተር ነዳጅ አስተላለፍ ክፍሎች መደረግ የሌለበት,ሀ. የነዳጅ መጠንን በነዳጅ ማመልከቻ ጌጅ ማወቅ,ለ. በስልባትዮ (ነዳጅ ጋን) ውስጥ የነዳጅ መጠንን ለማወቅ እንጨት /ኘላስቲክ/ ቱቦ,ሐ. ነዳጅ በስልባትዮ ውስጥ ከግማሽ በታች እንዳይሆን መከታተል,መ. በስባትዮ ውስጥ እንደ ሞተሩ ዓይነት ትክክለኛውን ነዳጅ መጠቀም,,ለ
11,ሞተር ለማቀዝቀዝ የሚያገለግል ዘዴ የትኛው ነው,ሀ. በውሃ ማቀዝቀዝ,ሐ. በአየር ማቀዝቀዝ,ለ. በማለስላሻ ዘይት,መ. ሀ እና ሐ መልስ ናቸው,,መ
